Problem,Cargo,Tightness,Success Mean,Success Variance,Computation Time Mean,Computation Time Variance,Heuristic Computation Time Mean,Heuristic Computation Time Variance,States Evaluated Mean,States Evaluated Variance,Heuristic States Evaluated Mean,Heuristic States Evaluated Variance,Dead Ends Mean,Dead Ends Variance
Prob-4-12-4-3-28-1_125-444,3,1.125000,0.0,0.0,1799.54809524,1.53040619048,None,None,None,None,None,None,182.954545455,360.045454545
Prob-4-12-4-1-17-1_5-87,1,1.500000,1.0,0.0,0.624333333333,5.98850574713e-05,0.00123333333333,1.85057471264e-07,1.0,0.0,47.0,0.0,0.0,0.0
Prob-4-12-4-1-19-1_125-99,1,1.125000,1.0,0.0,1.39833333333,0.00129022988506,0.00786666666667,3.70574712644e-06,5.0,0.0,141.0,0.0,0.0,0.0
Prob-4-12-4-3-19-1_5-397,3,1.500000,1.0,0.0,2.559,0.00616103448276,0.0017,2.1724137931e-07,1.0,0.0,1874.0,0.0,0.0,0.0
Prob-4-12-4-1-19-1_25-98,1,1.250000,1.0,0.0,0.584333333333,0.000156436781609,0.0015,2.58620689655e-07,1.0,0.0,30.0,0.0,0.0,0.0
Prob-4-12-4-1-0-2_0-1,1,2.000000,1.0,0.0,0.588666666667,0.000170574712644,0.0018,2.34482758621e-07,1.0,0.0,28.0,0.0,0.0,0.0
Prob-4-12-4-1-0-1_0625-5,1,1.062500,1.0,0.0,0.585333333333,3.26436781609e-05,0.00133333333333,2.98850574713e-07,1.0,0.0,28.0,0.0,0.0,0.0
Prob-4-12-4-2-18-2_0-241,2,2.000000,1.0,0.0,0.966,0.000286896551724,0.00216666666667,1.4367816092e-07,1.0,0.0,119.0,0.0,0.0,0.0
Prob-4-12-4-1-0-1_25-3,1,1.250000,1.0,0.0,0.588333333333,6.95402298851e-05,0.00166666666667,2.98850574713e-07,1.0,0.0,28.0,0.0,0.0,0.0
Prob-4-12-4-1-24-1_125-124,1,1.125000,1.0,0.0,0.563666666667,0.000127471264368,0.00176666666667,3.22988505747e-07,1.0,0.0,17.0,0.0,0.0,0.0
Prob-4-12-4-2-18-1_0625-245,2,1.062500,1.0,0.0,4.18333333333,0.215209195402,0.0203,8.63103448276e-06,11.0,0.0,1357.0,0.0,0.0,0.0
Prob-4-12-4-3-2-1_125-314,3,1.125000,0.0,0.0,1800.28363636,0.5771004329,None,None,None,None,None,None,300.52173913,192.260869565
Prob-4-12-4-1-28-1_25-143,1,1.250000,1.0,0.0,0.815333333333,0.0690533333333,0.0015,3.96551724138e-07,1.0,0.0,302.0,0.0,0.0,0.0
Prob-4-12-4-1-5-1_25-28,1,1.250000,1.0,0.0,0.67,4.8275862069e-05,0.0014,3.86206896552e-07,1.0,0.0,75.0,0.0,0.0,0.0
Prob-4-12-4-2-28-1_25-293,2,1.250000,1.0,0.0,0.796,0.000121379310345,0.00166666666667,2.98850574713e-07,1.0,0.0,47.0,0.0,0.0,0.0
3984,3210,,379.169445,,0.033340,,19.292169,,13569.781627,,62.322289
